Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
10049093,aarp.org,0.009401936%,-1.14%,"2,180",00:03:33,7.03,41.96%,Yes
7780150,quia.com,0.009245798%,-0.81%,"2,018",00:06:45,11.82,34.02%,
5470958,llbean.com,0.009221552%,5.81%,"4,624",00:04:38,5.84,34.66%,
9620213,moviefone.com,0.009201208%,3.07%,"2,702",00:03:42,4.31,31.63%,
6463186,stocktwits.com,0.009173764%,10.92%,"6,071",00:07:58,3.83,42.78%,Yes
6704255,coinbase.com,0.009033653%,10.53%,"3,981",00:06:39,6.29,42.58%,
5650694,typingweb.com,0.008958228%,14.00%,"3,572",00:11:49,9.80,14.69%,Yes
5868607,engrade.com,0.008917251%,30.58%,"4,545",00:05:54,8.35,12.95%,
5253410,enterprise.com,0.008914196%,1.91%,"3,777",00:05:53,8.01,17.34%,
5510805,grainger.com,0.008834945%,17.47%,"5,852",00:03:42,4.95,47.23%,
Estimated Visits,rakuten.com,0.008827859%,-15.63%,2,105,00:02:13,2.79,66.21%,Yes
7486851,basecamp.com,0.008813605%,-25.09%,"2,787",00:09:36,5.71,22.39%,
8780061,what.cd,0.008719460%,10.49%,"3,646",00:05:53,6.23,18.12%,
6982215,jibjab.com,0.008704531%,246.05%,"10,069",00:05:56,6.26,48.12%,
17006370,duolingo.com,0.008690935%,2.92%,"1,328",00:12:59,8.96,21.90%,
5447867,brainpop.com,0.008668095%,6.32%,"4,737",00:06:38,5.93,26.08%,
4989841,pinger.com,0.008535226%,12.94%,"10,074",00:10:51,2.55,49.28%,
6929200,urbanoutfitters.com,0.008530736%,17.88%,"3,803",00:06:40,8.87,25.01%,
11882716,fuq.com,0.008524356%,10.44%,"2,189",00:06:40,4.66,8.49%,
13151532,creativemarket.com,0.008507696%,16.44%,"2,204",00:03:50,7.16,48.28%,
105701774,rutracker.org,0.008445138%,5.98%,219,00:04:41,5.81,39.27%,
5253186,opentable.com,0.008436434%,24.63%,"6,351",00:03:48,4.07,28.75%,
4818971,saplinglearning.com,0.008409087%,13.28%,"6,533",00:10:59,5.72,4.74%,
13675401,curse.com,0.008373898%,21.95%,"2,307",00:04:54,6.55,33.73%,Yes
7177637,yummly.com,0.008361097%,2.10%,"4,889",00:02:33,4.35,32.01%,
4797100,uline.com,0.008316425%,11.88%,"5,048",00:03:37,7.69,41.72%,
50890688,linkbucks.com,0.008266790%,-18.12%,573,00:03:55,2.54,47.24%,
5165671,ally.com,0.008230077%,10.57%,"4,593",00:03:44,3.93,47.95%,
4499643,dotloop.com,0.008209619%,0.03%,"4,982",00:13:34,9.03,9.73%,
17081330,booloo.com,0.008196771%,-6.22%,969,00:15:50,10.69,25.25%,
7293414,westernunion.com,0.008189789%,-5.74%,"2,654",00:11:47,7.37,18.51%,
22998098,origin.com,0.008167116%,-11.59%,"1,129",00:02:35,2.97,40.15%,
54466953,twoo.com,0.008138341%,-8.53%,244,00:09:59,10.88,22.04%,
18546155,todoist.com,0.008114642%,9.69%,"1,773",00:04:32,4.28,43.77%,
11375765,girlsgogames.com,0.007995147%,1.43%,"2,053",00:10:50,7.13,24.96%,
7096571,modelmayhem.com,0.007992072%,68.33%,"3,899",00:06:49,18.18,33.69%,Yes
5739933,bookingbuddy.com,0.007916898%,-1.72%,"4,814",00:03:46,3.84,42.55%,
6393846,samplicio.us,0.007855649%,1.04%,"3,548",00:06:37,8.53,3.72%,
6128077,mspaintadventures.com,0.007821431%,105.28%,"4,363",00:07:56,22.75,37.25%,Yes
5328496,skyscanner.com,0.007812411%,-1.17%,"5,332",00:05:54,4.69,20.26%,Yes
12746167,coolrom.com,0.007786420%,9.31%,"1,817",00:06:47,7.26,23.30%,
8146229,ch131.so,0.007777115%,61.74%,"8,347",00:04:36,5.12,28.37%,
7090323,quotev.com,0.007760498%,11.08%,"1,907",00:18:37,16.23,20.19%,Yes
4901332,findagrave.com,0.007699784%,11.17%,"3,970",00:08:45,10.86,33.93%,
5101416,customink.com,0.007699138%,0.33%,"5,108",00:05:34,5.17,33.42%,
5298508,thinkgeek.com,0.007658361%,33.72%,"6,623",00:04:44,5.78,41.19%,
7774273,serebii.net,0.007608669%,0.02%,"4,026",00:03:32,3.30,49.89%,Yes
4328937,gunbroker.com,0.007579971%,13.26%,"5,060",00:05:40,10.07,30.97%,
4966387,drugstore.com,0.007520220%,2.72%,"4,912",00:03:55,6.69,48.14%,Yes
